login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
gain-bot,84,2,0,0,108,1,0,0,0,0,112.425,1,33,0,0,0,1,3,0.928,0.928082192,0.93871648,0.928255072,1.604093567,33.5047081,0,0,0,0,Bot,Issues/PRs
cla-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
bbottema,10,4,2,1,16,3,8,1,40,1,426.6541667,95.5,3384,0,0,0,0,0,0.11378335,0.075564575,0.196704915,0.117998448,107.9090909,3394.166667,30,0,0.023547891,31.72727273,Human,Issues/PRs
Staffbot,0,0,0,0,2,1,0,0,1,0,0.375,18,0,0,1,0,1,0,0.992424242,0,0.992424242,0,18,0,0,0,0,0,Bot,Issues/PRs
mrrobot47,58,4,65,3,57,3,105,1,22,3,0,133,268,0,0,0,0,5,0.214834462,0.198761598,0.250773793,0.182057949,141.7651007,237.4857143,35,0.131590339,0.268202788,31.3779748,Human,Issues/PRs
theforeman-bot,0,0,0,0,25,1,0,0,2,0,0.016666667,3,62.5,0,1,0,1,3,0.666666667,0.564222886,0.666666667,0.564222886,2.642857143,62.5,0,0,0,0,Bot,Issues/PRs
sisu-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
FeedjiraBot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
michaelhsu-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
jesusbotella,2,2,3,2,7,2,3,1,20,1,4842.741667,306.5,1068,0,0,0,0,0,0.273182248,0.318388612,0.293816186,0.288630375,286.5,790.6666667,14,0,0.333333333,9.333333333,Human,Issues/PRs
guillebot,11,3,0,0,14,3,40,1,0,1,0,203,210,0,0,0,1,0,0.120947096,0.123091491,0.231394385,0.121943647,297.8181818,162.3333333,0,1,0.760211558,5.231404959,Human,Issues/PRs
ninjarobot,31,3,38,3,49,1,50,1,23,0,0,157,110,0,0,0,1,0,0.21821789,0.205515939,0.217873455,0.203652467,310.2626263,153.5128205,22,0,0.157663614,22.15184382,Human,Issues/PRs
GK-keeper-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
fozzie-bot,0,0,0,0,12,1,0,0,1,0,0.070833333,49,0,0,0,0,1,0,0.919960651,0,0.922115823,0,45,0,0,0,0,0,Bot,Issues/PRs
dependabot,60,4,75,3,52,3,37,1,0,0,0,0,0,0,1,0,1,39,0,0,0,0,0,0,79,0.484489978,0.509146018,75.08090957,Bot,Issues/PRs
eclipse-jaxb-impl-bot,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
kubermatic-bot,9,3,13,2,143,2,16,1,0,0,0,399,38,0,0,0,1,24,0.307776664,0,0.384337578,0.134286843,375.8619808,82.36287425,22.5,0.556414884,0.461827871,26.4,Bot,Issues/PRs
TheHipbot,0,0,0,0,0,0,0,0,12,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ladybugbot,100,2,0,0,78,1,43,1,1,0,551.15,1,70,0,1,0,1,12.5,1,0.695816611,0.96409433,0.695816611,0.9375,70,0.5,0.816666667,0.816666667,0.5,Bot,Issues/PRs
mainio-integration-bot,18,2,13,1,0,0,90,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.8,0.882557078,1.319634703,Bot,Issues/PRs
toptal-bot,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
TurekBot,5,3,0,0,4,2,2,1,2,11,0,378,565,0,0,0,1,0,0.114707867,0.362515689,0.114707867,0.362515689,378,565,0,0,0,0,Human,Issues/PRs
tld-update-bot,15,1,15,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
sourcegraph-bot,14,3,9,2,118,3,129,1,0,0,0.058333333,122,38,0,0,0,1,47.5,0.534323946,0.919694073,0.536506024,0.613097172,243.6718568,343.8991826,1,0.833333333,0.831653939,1.219357757,Bot,Issues/PRs
bobotu,44,5,34,3,81,2,79,1,38,16,3.958333333,7,26,0,0,0,0,2.5,0,0,0.194944525,0.128895038,61.9706228,89.25470219,20,0,0.151244908,19.02195704,Human,Issues/PRs
jbosstm-bot,0,0,0,0,290,1,10,1,0,0,0.725,23,195,0,0,0,1,4,0.700389213,0.144168581,0.679023242,0.215648047,32.75098141,240.5,0,0,0,0,Bot,Issues/PRs
zaripych-bot,38,2,0,0,4,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,Bot,Issues/PRs
whateverbot,4,2,0,0,8,1,0,0,0,0,29667.78333,1,724,0,0,0,1,0,1,0.357602363,1,0.404937041,0.535714286,454.6,0,0,0,0,Bot,Issues/PRs
boenrobot,4,3,0,0,3,1,2,1,18,1,1094.920833,646,961.5,0,0,0,1,0,0.546194436,0.355906104,0.563699077,0.400580229,1638.864865,1194.444444,34,0.333333333,0.333333333,34,Human,Issues/PRs
azuresdkciprbot,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
tm-github-bot,28,2,0,0,13,1,13,1,0,0,1148.483333,1,33,0,0,0,1,0,0.95505618,0,0.971766062,0,1.487179487,33,0,0,0,0,Bot,Issues/PRs
eclipse-milo-bot,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
larrybotha,27,5,21,3,19,3,111,1,55,1,0,223,228,0,0,0,0,1,0.061034134,0.11785113,0.083065915,0.145050172,217.9459459,355.9047619,11,0,0.134794236,15.04429933,Human,Issues/PRs
botandrose,1,1,0,0,7,2,4,1,28,1,92499.45833,287,1201,0,0,0,0,0,0.318423982,0.058182999,0.351666622,0.146662267,303.9166667,1228.555556,26,0,0.028850965,24.56410256,Human,Issues/PRs
wbotelhos,53,6,18,3,26,3,82,1,341,459,0,31,69.5,0,0,0,0,0,0.126494142,0,0.161937652,0.067199309,39.10344828,130.8181818,12,0,0.051859094,13.51999138,Human,Issues/PRs
ks-ci-bot,0,0,30,1,82,2,32,1,12,0,0,65,15,0,1,0,1,72,0.964052288,0,0.800968272,0.260584944,178.7261146,122.5897436,31,0.311399578,0.336875446,29.91111111,Bot,Issues/PRs
