login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
kevinoliver,0,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
notlee,52,3,91,3,39,3,48,1,4,1,0.041666667,138,117,0,0,0,0,2.5,0.193022859,0.180642605,0.237144858,0.28150965,139.0606061,274.7142857,76.5,0.061339562,0.243626961,109.9943091,Human,Issues/PRs
rasheedamir,54,5,62,3,33,3,59,1,32,5,1707.8,40,95,0,0,0,0,0,0.03509312,0.132019672,0.058017195,0.138010915,56.31147541,99.45454545,22.36190476,0.25819889,0.277368539,24.2078735,Human,Issues/PRs
kharanenka,9,2,13,2,15,3,25,1,26,3,622.8583333,85,116,0,0,0,0,0,0.172259187,0,0.340317724,0.065780869,76.17391304,130.5333333,31.5,0.095346259,0.163864547,32.92011789,Human,Issues/PRs
aloisklink,9,2,4,3,1,1,8,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75,0.676776695,0.676776695,10.75,Human,Issues/PRs
slashdotdash,66,5,31,3,41,3,75,1,282,123,0,161,233.5,0,0,0,0,0,0.15430335,0.285393996,0.172655309,0.293550899,212.480663,300.0517241,29.96666667,0,0.144242047,33.46341034,Human,Issues/PRs
berryamin,11,4,1,1,9,3,19,1,9,137,0,166,46,0,0,0,0,0,0.070446391,0.15430335,0.078490318,0.15430335,137.25,46,23,0.160167652,0.182804065,20.83350464,Human,Issues/PRs
chrisburr,27,4,102,4,53,3,74,1,34,7,0,93,114,0,0,0,0,5,0.112687234,0.158113883,0.139717478,0.171690906,167.8481675,150.1854305,14.83333333,0.131969709,0.334810594,16.20686522,Human,Issues/PRs
joaosamouco,17,2,1,1,0,0,2,1,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0.153769779,34.44109731,Human,Issues/PRs
jstedfast,5,1,14,2,130,4,100,1,431,18,64.85,184,259,0,0,0,0,2,0.147591601,0.11773621,0.170672688,0.151194828,310.0327724,482.4370546,27,0,0.076059292,34.99080584,Human,Issues/PRs
takaishi,60,6,61,3,76,3,54,1,59,0,1274.516667,28,82,0,0,0,0,0,0,0,0,0.038880558,88.20193152,177.2641129,18.375,0.363696484,0.402963595,20.13129093,Human,Issues/PRs
KarlLevik,36,4,35,2,30,3,61,1,10,5,12.48333333,81,85,0,0,0,0,0,0.064775028,0.131876095,0.198041322,0.121706397,123.1851852,80.33333333,20.5,0,0.065258129,24.45408663,Human,Issues/PRs
Anthchirp,50,4,39,2,50,3,151,1,23,1,0,111.5,153,0,0,0,0,28.5,0.112957469,0.319523432,0.181233229,0.343708936,256.4590164,193.3028169,13.5,0,0.149537711,18.75279794,Human,Issues/PRs
designfrontier,4,1,0,0,0,0,4,1,45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
HyperBrain,0,0,0,0,0,0,0,0,115,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
clue,65,4,62,2,23,3,59,2,694,0,0,149,967,0,0,0,0,2,0.305682258,0.098373875,0.348035263,0.154942759,191.8918919,943.2307692,37.5,0,0.246170366,33.31156087,Human,Issues/PRs
emekalites,9,4,1,1,28,2,8,1,22,36,6614.5,41,55,0,0,0,0,0,0.11433239,0.106600358,0.130223764,0.123096282,56.54545455,88.6374269,26.97368421,0,0.1427493,24.45975355,Human,Issues/PRs
paulfalgout,62,5,105,3,52,3,42,1,85,0,0,177,221,0,0,0,0,4,0.162757692,0.089442719,0.188522531,0.138509987,197.2961083,258.7973333,38.8992915,0.089087081,0.157971415,40.19812727,Human,Issues/PRs
9il,132,5,17,3,18,3,129,2,77,30,0,193,684,0,0,0,0,1,0.244411858,0.150790265,0.212038125,0.26216916,219.2222222,777.5,13,0,0.166715697,14.14027778,Human,Issues/PRs
smpl,5,1,0,0,2,2,16,1,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0.050582496,11.8527668,Human,Issues/PRs
estolfo,11,1,27,3,24,2,48,1,165,1,8523.316667,73,217,0,0,0,0,0,0.166666667,0.050096718,0.174704065,0.098922058,109.0718954,2749.538462,61,0.049507377,0.278595847,116.1657414,Human,Issues/PRs
jameswilson,9,3,4,1,7,2,0,0,21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
kurnevsky,39,4,38,3,30,3,131,1,22,8,0,84,129,0,0,0,0,1,0.146795169,0.172101808,0.162821308,0.211323365,95.04424779,158.3157895,10.4375,0.163299316,0.274205062,14.62928831,Human,Issues/PRs
kpp,26,6,32,3,37,3,90,1,78,7,0,53,93.5,0,0,0,0,1,0,0.107435576,0.110527354,0.138828858,52.69536424,217.45,17.95833333,0,0.140263424,17.77728824,Human,Issues/PRs
menduz,55,4,66,3,14,3,95,1,96,133,120.775,62.5,82,0,0,0,0,4,0.105382181,0.096225045,0.131802935,0.228043416,120.5909091,71.95238095,21.5,0,0.144153844,41.29969035,Human,Issues/PRs
gfursin,36,6,15,2,52,3,167,1,38,0,0,95,322,0,0,0,0,1,0.151619609,0.372087849,0.17832138,0.411120052,175.0803213,355.6666667,15,0,0.07411054,19.66666661,Human,Issues/PRs
csholmes,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
noties,26,4,4,1,57,2,30,1,171,7,0,208,186,0,0,0,0,0,0.179321463,0.097878094,0.18557566,0.112699767,284.6859449,405.4643875,34.38235294,0.363636364,0.363636364,34.38235294,Human,Issues/PRs
coryb,19,4,65,3,21,3,134,1,104,0,390.975,180,142,0,0,0,0,2,0.267261242,0.126773138,0.259066553,0.134103319,225.8786127,128.5333333,31.66331845,0.31957286,0.336804319,31.15249881,Human,Issues/PRs
kris-nova,19,5,13,4,15,3,17,1,1232,23,0,162,317,0,0,0,0,0,0.081823703,0.099833749,0.104182796,0.118747602,270.8846154,554.3333333,7.375,0.681350238,0.661924871,9.619023673,Human,Issues/PRs
m-weigand,4,2,4,2,1,1,26,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72727273,0,0.077119342,29.47112983,Human,Issues/PRs
achilleas-k,39,2,34,3,86,3,112,1,37,28,14.21666667,152,138,0,0,0,0,3,0.186906833,0.120096115,0.215780951,0.203357195,347.9529412,418.6506024,54.5,0.026861793,0.088139844,69.11998081,Human,Issues/PRs
Kuchiriel,4,1,0,0,0,0,0,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
dcsan,5,2,1,1,221,4,39,2,95,96,0,111,285,0,0,0,0,8.5,0.075973718,0.168573912,0.129703785,0.223107278,159.6132438,322.6587755,12,0,0.036100908,11.37098361,Human,Issues/PRs
kirsle,5,2,1,1,3,1,4,1,126,19,901.9333333,428,0,0,0,0,0,0,0.25786576,0,0.304977014,0,378,0,16,0,0.13726828,18.21016484,Human,Issues/PRs
jhoblitt,85,4,35,2,10,1,170,1,35,10,0,96,128,0,0,0,0,6,0.14186538,0.497589567,0.140114651,0.494143769,87.07692308,103.25,13,0.091287093,0.195196615,17.00238008,Human,Issues/PRs
trusktr,24,5,50,3,116,3,64,1,256,157,0,227,134,0,0,0,0,12,0.182574186,0.105098948,0.192429576,0.127622651,710.0369844,192.7014925,49.48484848,0.084943698,0.161952915,65.34089857,Human,Issues/PRs
blikblum,16,5,14,4,85,4,42,1,51,0,0,146,266,0,0,0,0,1,0.110379112,0.154312627,0.137872689,0.169905369,145.5592593,272.6143411,23,0,0.104428662,32.47677072,Human,Issues/PRs
treshugart,0,0,0,0,1,1,0,0,153,34,0,894,1059,0,0,0,0,1,0.390066199,0.442048857,0.397167974,0.443735752,740.3333333,873.6666667,0,0,0,0,Human,Issues/PRs
adambkaplan,20,2,70,3,90,3,47,1,13,0,270.5333333,93,350.5,0,0,0,0,6,0.07387215,0.139241974,0.117559616,0.181322417,134.8462185,360.5,41.47222222,0.11433239,0.187506027,82.77995963,Human,Issues/PRs
NorfairKing,38,6,13,3,31,3,200,1,269,294,0,101.5,145.5,0,0,0,0,8,0.158957154,0.224550303,0.17366727,0.213627694,128.475,265.5,16.5,0,0.063450865,17.71433938,Human,Issues/PRs
CSVdB,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
emilymye,5,2,20,2,19,1,40,1,14,2,1109.879167,19,29,0,0,0,0,0,0,0.122438896,0.141896449,0.117018966,52.34210526,51.1,0,0,0,0,Human,Issues/PRs
jefferai,38,2,70,3,34,3,87,1,246,8,0,116,211.5,0,0,0,0,5,0.18881534,0.14023151,0.196095634,0.151736877,160.0980392,311.0925926,27,0,0.083550087,33.18955239,Human,Issues/PRs
damsfx,15,4,4,2,19,3,5,1,4,1,152.2916667,399,116,0,0,0,0,0,0.207675365,0.132598709,0.265151929,0.147346953,401.72,92.38461538,0,0,0,0,Human,Issues/PRs
tobias-kuendig,29,4,31,3,113,3,109,1,42,0,0,128,186,0,0,0,0,1,0.177856853,0.201007563,0.197465124,0.215016581,167.2212048,530.8134431,19.5,0,0.068210362,20.21085355,Human,Issues/PRs
wernerkrauss,20,3,25,3,47,3,51,2,19,20,0,189,138,0,0,0,0,0,0.18894781,0.189990149,0.193798842,0.207162115,400.1119691,334.9567568,25.21428571,0.077741881,0.151949284,39.25745757,Human,Issues/PRs
stevie-mayhew,8,1,12,1,2,2,8,1,72,103,0,141,314,0,0,0,0,0,0.349116076,0.385385776,0.365159946,0.390533475,138.3,289.5,19.3125,0.618346942,0.604683216,18.49107143,Human,Issues/PRs
redhatrises,9,2,119,3,39,2,53,1,25,2,0,50,432,0,0,0,0,8.5,0.071798678,0.083933262,0.098159895,0.147142867,92.95907928,506.3704497,39.92592593,0.269679945,0.276169957,40.1317344,Human,Issues/PRs
johndgiese,2,2,5,2,26,3,13,1,33,15,0,212,827,0,0,0,0,0,0.218737496,0.270349916,0.238801571,0.2617862,310.4846154,762.125,0,0,0,0,Human,Issues/PRs
interactivellama,6,1,8,3,13,3,3,1,36,1,7.45,121,189,0,0,0,0,0,0.016778901,0.134231211,0.096642065,0.131213936,147.75,160.2,43.5,0.133630621,0.133630621,43.5,Human,Issues/PRs
tas50,59,4,89,3,28,3,101,1,230,33,53.675,74,67.5,0,0,0,0,41.5,0.083333333,0.122011486,0.102539162,0.173607673,65.86046512,96.77777778,32.4,0.500773396,0.469452553,35.09281364,Human,Issues/PRs
jeremymeng,30,3,67,3,60,3,54,1,58,1,2.145833333,68,166,0,0,0,0,11,0.065223223,0.07075695,0.101018464,0.145159788,156.3871473,224.3770161,95,0.04662524,0.106803098,160.9098472,Human,Issues/PRs
alileza,34,6,5,2,5,2,17,1,53,60,111.4333333,133.5,62.5,0,0,0,0,0,0.088784142,0,0.11546201,0.028644898,132.8333333,57.5,9.25,0,0.105216184,8.926470588,Human,Issues/PRs
dherman,9,2,69,3,19,3,29,1,1485,3,77.21666667,126,129.5,0,0,0,0,0,0.237322226,0.094434137,0.25476438,0.13292373,170.2459016,162.3333333,0,1,1,0,Human,Issues/PRs
katbyte,21,3,98,3,15,2,63,1,51,1,17054.85,209.5,214.5,0,0,0,0,26.5,0.163027829,0.144136831,0.175227973,0.161150893,257.1785714,463.5714286,7,0,0.151920874,8.28281089,Human,Issues/PRs
hiyosi,21,3,34,3,17,2,69,1,8,0,0,299,78,0,0,0,0,0,0.064657575,0.261780955,0.142175201,0.259960812,343.1940299,424.9047619,27.36666667,0.535655668,0.568664692,38.84036934,Human,Issues/PRs
levionessa,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
tychoish,46,4,68,3,50,3,126,1,108,29,0,82.5,355,0,0,0,0,1.5,0.243802768,0.180014064,0.241198218,0.216942952,189.5514706,955.5531915,16,0,0.090070538,20.01143807,Human,Issues/PRs
johnsenpeder,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
atgrau,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
licarth,7,2,0,0,0,0,11,1,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mauroa,4,2,2,2,10,3,5,1,15,3,5146.716667,258.5,483.5,0,0,0,0,0,0.500773459,0,0.451123842,0.02728905,266.2142857,489.1666667,28.96666667,0.123091491,0.211929142,22.44037037,Human,Issues/PRs
adalon,21,3,2,2,0,0,2,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
alexflav23,45,2,59,4,0,0,160,1,62,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.5,0,0.072879631,64.88560935,Human,Issues/PRs
danielkaneider,0,0,0,0,7,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
vojtechhabarta,55,4,25,3,53,2,159,1,24,16,6567.5,213,116,0,0,0,0,0,0.170346286,0.07787612,0.189158541,0.095118509,241.8141176,180.0157895,6.785714286,0.668153105,0.607195341,8.658354721,Human,Issues/PRs
minad,57,4,14,3,63,3,67,1,196,659,0,206,430.5,0,0,0,0,0,0.254850951,0.317723069,0.2763421,0.336912904,328.1809045,618.6229508,28.96428571,0.055641488,0.192274307,32.82394882,Human,Issues/PRs
rkh,4,3,2,1,0,0,5,1,1971,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23076923,0,0.055441274,17.89675095,Human,Issues/PRs
jserv,15,2,104,3,29,3,48,2,2686,1158,0,107.5,94,0,0,0,0,7,0.15430335,0.12329924,0.155849145,0.208576005,108.75,83.71428571,18,0,0.068690323,39.64337425,Human,Issues/PRs
ender503,7,3,0,0,0,0,4,1,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0.204124145,0.451987015,8.788126362,Human,Issues/PRs
olistic,23,3,20,2,1,1,30,1,216,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45454545,0.144337567,0.184617094,15.98988133,Human,Issues/PRs
idan,14,5,7,2,12,2,14,1,506,31,3509.783333,76,156,0,0,0,0,0,0.196722369,0.23590713,0.201586899,0.241275079,181.3090909,163.6666667,47,0,0.025606328,55.58217022,Human,Issues/PRs
Duerno,4,3,0,0,1,1,11,1,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
tnagler,48,5,45,3,17,2,79,1,43,2,4086.166667,246.5,255,0,0,0,0,0,0.270971862,0.237960378,0.271380147,0.290580739,381.0714286,384.6,15.5,0,0.138727226,44.29695835,Human,Issues/PRs
tvatter,8,3,13,2,6,1,15,1,29,2,0,83.5,72,0,0,0,0,0,0.038348249,0.923396794,0.086304732,0.923396794,80.33333333,72,8.5,0,0.06976825,16.08566919,Human,Issues/PRs
timbod7,24,5,24,4,33,3,21,1,28,0,350.7166667,72,187,0,0,0,0,0,0,0.032897585,0.076414717,0.071520804,80.43414634,166.5454545,23.96875,0,0.145694954,31.60875703,Human,Issues/PRs
davinci26,10,3,93,3,37,2,59,1,26,23,0,110,233.5,0,0,0,0,4.5,0.094810709,0.130693505,0.14232925,0.175493112,141.4350348,250.3695652,9.818181818,0.730296743,0.730214131,11.95768628,Human,Issues/PRs
whyrusleeping,55,5,72,3,42,3,27,1,1270,24,6.5,90,0,0,0,0,0,3,0.061898446,0,0.06321316,0,83,0,27.5,0,0.065651333,29.8376528,Human,Issues/PRs
travisperson,61,3,84,3,20,3,92,1,116,20,583.55,168,0,0,0,0,0,3,0.135904177,0,0.190934576,0,360.8666667,0,29.46666667,0.21821789,0.270923983,39.46916625,Human,Issues/PRs
LeeSmet,13,3,30,2,49,3,31,1,5,0,2934.695833,251.5,238,0,0,0,0,0,0.127238644,0.200976292,0.210741073,0.24695805,641.74375,240.725,23.88235294,0.618589574,0.574667113,45.95922495,Human,Issues/PRs
VictorVelarde,33,5,83,4,32,1,66,1,42,138,0,84,208,0,0,0,0,1,0.162459108,0.098850141,0.16352261,0.35005519,184.253886,303.3225806,26.5,0.085125653,0.156728833,38.62592754,Human,Issues/PRs
dcmouyard,82,2,87,3,11,3,102,1,14,5,10878.28333,92,229,0,0,0,0,0,0.151947435,0.191848663,0.137516273,0.182489162,91.64705882,194,39.95576923,0.15430335,0.187391285,48.23252555,Human,Issues/PRs
Scotchester,30,4,98,3,23,3,56,2,36,6,0,92,102,0,0,0,0,2,0.085290861,0.112262552,0.114880618,0.20354667,170.4027778,216.6938776,28,0,0.077656033,73.81737656,Human,Issues/PRs
kylebuch8,27,4,34,3,7,3,152,2,21,0,18825.23333,0,208,0,0,0,0,1,0,0,0,0.126060213,0,164.6666667,20,0,0.10430686,28.97469947,Human,Issues/PRs
brigand,21,4,18,3,26,3,32,1,277,20,46.36666667,133,96.5,0,0,0,0,0,0.096900317,0.076952956,0.136405623,0.101711157,159.3650794,297.8461538,23.484375,0,0.173758237,25.52450458,Human,Issues/PRs
phoracek,15,3,68,1,62,3,39,1,28,14,0,70,124,0,0,0,0,13,0,0.04351916,0.087510841,0.096390689,194.5572519,239.6477273,0,0,0,0,Human,Issues/PRs
sonnyp,67,6,42,3,123,4,67,1,92,42,0,97,93,0,0,0,0,1,0.126865741,0.075140447,0.147944478,0.103107113,115.1539301,263.1439394,10,0,0.18415598,13.32758412,Human,Issues/PRs
shimizukawa,2,2,14,3,3,1,59,1,107,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0.370368657,8.830182421,Human,Issues/PRs
gajus,64,3,21,2,112,3,56,1,1837,539,0,140,142,0,0,0,0,4,0.153818294,0.100933843,0.282029497,0.166678937,133.1566402,245.3594771,16.5,0,0,19.4281041,Human,Issues/PRs
novemberborn,42,5,57,3,116,4,49,1,353,0,449.7,159,231.5,0,0,0,0,1,0.186338998,0.225779177,0.201550095,0.238977089,175.3123732,341.3420428,15.5,0,0,31.63606059,Human,Issues/PRs
Domysee,4,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
julienbourdeau,25,5,7,3,14,3,53,1,129,2,0,107,448,0,0,0,0,0,0.088696859,0.276466323,0.198911381,0.276466323,113,448,13,0,0.248212448,17.89879321,Human,Issues/PRs
tristan0x,16,3,18,3,26,3,31,1,22,9,2424.825,141,269,0,0,0,0,0,0.141313823,0.045104594,0.208027398,0.130361462,188.3693694,286.2083333,63.47727273,0.046423835,0.127403855,175.2065499,Human,Issues/PRs
aliak00,9,4,11,3,23,3,22,1,13,0,0,302,105,0,0,0,0,0,0.226978942,0.201291854,0.218375823,0.191895826,395.4,323.5,35.5,0,0.09374862,31.6296897,Human,Issues/PRs
aazon,5,2,1,1,0,0,1,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mmoll,29,4,15,4,11,2,69,1,42,14,0,55.5,90,0,0,0,0,0,0.094169406,0.219971595,0.10608061,0.219971595,89.6,90,13,0,0.137433035,15.01368588,Human,Issues/PRs
dfahlander,40,6,26,2,59,3,161,1,152,10,0,183,238,0,0,0,0,7,0.239985001,0.167472659,0.241091454,0.187796093,226.2881246,296.9286988,18,0,0.067695249,56.62247045,Human,Issues/PRs
michielpost,43,4,21,2,30,3,82,1,16,3,0,131,652,0,0,0,0,0,0.333759319,0.333005088,0.303502782,0.283209656,174.5144509,511.1428571,14,0,0.060724616,17.99312747,Human,Issues/PRs
thiru,0,0,0,0,0,0,1,1,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
jonathansamines,20,4,11,3,19,3,18,1,40,83,0,124,93,0,0,0,0,0,0.202030898,0,0.21020052,0.0248452,121.1333333,74,37.41304348,0,0.174598664,36.56922975,Human,Issues/PRs
stash,4,3,6,2,8,1,4,1,122,32,100460.725,199,121,0,0,0,0,0,0.207841663,0.218920671,0.198669769,0.227061327,370.75,141.4,300.48125,0.102261999,0.343137676,167.2583228,Human,Issues/PRs
awaterma,2,2,4,2,5,2,2,1,60,37,39964.78333,58,54,0,0,0,0,0,0.242535625,0.229341236,0.273842169,0.217207041,50.66666667,53.33333333,0,0,0,0,Human,Issues/PRs
bradylove,0,0,0,0,0,0,0,0,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
fredoboulo,2,1,0,0,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
brodybits,35,6,90,3,85,3,40,1,158,52,0,192,178,0,0,0,0,0,0.244609474,0.262832744,0.242729562,0.259407277,235.7289575,225.2317073,122.4558824,0.074848119,0.20133092,76.55151647,Human,Issues/PRs
seanmcleod,9,2,8,3,47,2,6,2,7,0,238.5333333,330,301.5,0,0,0,0,0,0.270621114,0.286769652,0.26909247,0.286513421,387.0490798,321.4013158,30.5,0,0,30.5,Human,Issues/PRs
joegoldbeck,0,0,0,0,1,1,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
stefanneculai,2,1,0,0,0,0,0,0,92,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
NeilFraser,9,5,16,3,33,4,70,1,597,0,3761.775,151,77,0,0,0,0,1,0.162947621,0.055814557,0.191170177,0.076584445,155.7762238,179.3448276,20,0,0.072639503,26.61034872,Human,Issues/PRs
bootstraponline,16,4,8,3,34,4,224,1,193,3,1886.141667,107.4517218,377.940025,0,0,0,0,5,0.182696146,0.118341271,0.190945434,0.164503172,166.445829,521.3964169,13,0,0.302610027,9.666666667,Human,Issues/PRs
marijnh,28,4,25,3,149,3,91,1,4270,0,55.45416667,105,205,0,0,0,0,6,0.164711789,0.201604912,0.175086559,0.220031003,132.6913043,287.2872727,24,0,0.092534417,36.4661471,Human,Issues/PRs
visualfc,53,3,22,3,26,3,196,1,739,1,522.7166667,95.5,110,0,0,0,0,7,0.111313713,0.179284291,0.163928849,0.190045785,109.7380952,200.0540541,16,0,0,16.40942727,Human,Issues/PRs
cordoval,0,0,0,0,0,0,0,0,311,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
stephpy,8,3,1,1,0,0,3,1,128,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,Human,Issues/PRs
mhchia,18,3,6,3,14,3,33,1,128,175,0,104.5,81,0,0,0,0,0,0.289772706,0.061237244,0.3236216,0.062893483,89.5,80,15,0,0,18.38653299,Human,Issues/PRs
revolunet,88,4,63,4,39,2,89,1,841,275,0,60,74,0,0,0,0,6,0,0.129469889,0.036191593,0.188286435,63.70093458,188.969697,13,0,0.247632018,19.07142857,Human,Issues/PRs
dingo-d,18,4,97,3,32,3,32,1,70,91,0,72.5,56,0,0,0,0,2,0.204917876,0.160098996,0.195930804,0.214331171,101.3,111,24,0.285714286,0.323248872,22.34526559,Human,Issues/PRs
TriangleJuice,43,4,55,3,8,3,82,1,8,10,188.0708333,17,0,0,0,0,0,0,0.182574186,0,0.182574186,0,17,0,41,0,0,37.3630137,Human,Issues/PRs
mhallin,2,1,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29,0,0,29,Human,Issues/PRs
alimanfoo,26,3,69,3,78,3,91,1,188,5,157.575,288.5,301,0,0,0,0,1,0.206967243,0.205682284,0.230156317,0.219672857,418.6398104,396.7333333,9,0,0.136059561,19.99084435,Human,Issues/PRs
Namiii,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nuxzero,38,5,32,3,3,1,44,1,15,26,19053.16667,15,0,0,0,0,0,0,0.113227703,0,0.188712839,0,19,0,91,0.223606798,0.238108944,104.3970898,Human,Issues/PRs
soffchen,12,3,3,1,11,2,30,1,106,7,69.55,29,2179,0,0,0,0,0,0,0,0.006109527,0,24.80952381,2179,14,0.19245009,0.3708744,13.56410256,Human,Issues/PRs
nadoo,135,3,2,1,52,2,91,1,52,41,281.1583333,147,188,0,0,0,0,2,0.125,0.105373144,0.146415152,0.128235114,169.7847659,477.766129,17,0,0.060153677,17.32420976,Human,Issues/PRs
BryanApellanes,15,1,0,0,5,1,37,1,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.844231765,0.89615451,19.33333333,Human,Issues/PRs
drewsonne,36,3,2,2,4,1,23,1,29,3,0,155,290,0,0,0,0,0,0.249043948,0.471136939,0.222273937,0.471136939,134.5,290,0,1,1,0,Human,Issues/PRs
KacperMadej,0,0,0,0,36,4,0,0,9,0,1423.6,252,138,0,0,0,0,0,0.386990697,0.148201862,0.365374745,0.150616697,241.3914729,185.6578947,0,0,0,0,Human,Issues/PRs
cvasseng,3,2,3,2,3,1,3,1,8,0,0,1170,722,0,0,0,0,0,0.61936173,0.265351684,0.696242129,0.265351684,843,722,0,0,0,0,Human,Issues/PRs
gregberge,37,6,46,4,83,2,57,1,986,95,5.125,57,185,0,0,0,0,0,0.131969709,0.185230927,0.220731204,0.261829926,64.47976879,325.2402235,19,0,0.131548864,23.87466478,Human,Issues/PRs
sixer1182,12,3,16,3,2,2,8,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0.433012702,0.477304212,6077.332075,Human,Issues/PRs
scrutinizer-notifier,0,0,0,0,300,1,0,0,3,0,1.5875,14,192,0,0,0,0,17,0.736842105,0.354990162,0.697426302,0.41644835,17.56498674,213.1489362,0,0,0,0,Bot,Issues/PRs
kortschak,47,4,62,3,73,3,69,1,199,0,0,172,199,0,0,0,0,5,0.149591518,0.259377868,0.196113428,0.265997165,222.0529634,349.9975728,26,0.071111813,0.152833788,47.37287396,Human,Issues/PRs
oberbichler,76,4,33,2,6,1,38,1,26,0,6068.7,196.5,157,0,0,0,0,0,0.434479393,0.212446828,0.418505423,0.21279242,212.6666667,208.25,0,1,0.648560114,9.574829932,Human,Issues/PRs
gfinak,4,2,3,2,35,3,38,2,53,3,11.725,200,353,0,0,0,0,0,0.220863052,0.212495559,0.240174995,0.203592394,261.3018868,339.9259259,14,0,0.092754692,15.27722772,Human,Issues/PRs
andrewimm,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
jdolitsky,51,6,53,3,90,3,55,1,180,0,0,86,149,0,0,0,0,1,0.140487872,0.134164079,0.166947894,0.160020836,218.2555831,263.7563452,33,0.218403757,0.340946109,27.32,Human,Issues/PRs
mykola-mokhnach,43,2,64,4,57,4,92,1,273,0,0,88,221,0,0,0,0,32,0.147050874,0.160128154,0.156911994,0.188131511,943.8052699,288.2613909,10,0,0,13.52191781,Human,Issues/PRs
scottcorgan,0,0,0,0,0,0,0,0,335,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
